1	A	18 11 20 55 35 26 22 14 29 22
2	A	17 13 28 56 34 22 26 11 23 34
3	A	15 19 28 57 30 28 38 16 32 36
4	A	16 16 22 57 32 22 32 19 38 26
5	A	19 12 24 57 37 20 24 13 26 22
6	A	15 11 26 59 30 24 22 15 31 30
7	A	17 17 24 60 33 26 34 12 24 32
8	A	18 18 22 60 36 28 36 21 43 38
9	A	18 13 20 61 35 20 26 19 37 34
10	A	14 11 26 62 28 20 22 13 25 24
11	A	17 15 22 62 33 20 30 13 26 26
12	A	15 16 26 63 30 28 32 12 24 22
13	A	18 19 22 63 35 28 38 20 39 30
14	A	16 17 28 64 32 22 34 11 21 32
15	A	15 12 22 65 29 24 24 15 31 38
--------------------------------------
1	B	27 13 20 37 53 26 26 17 35 34
2	B	28 11 24 38 55 24 22 19 39 26
3	B	25 15 26 39 50 22 30 16 32 38
4	B	29 16 28 39 57 20 32 24 48 32
5	B	24 19 20 41 47 26 38 23 45 24
6	B	27 17 20 41 54 22 34 20 41 22
7	B	22 13 28 42 43 26 26 27 53 34
8	B	26 19 28 42 51 22 38 25 51 36
9	B	27 16 20 43 55 28 32 23 47 22
10	B	21 12 28 44 41 22 24 28 56 28
11	B	25 11 28 44 49 20 22 21 42 34
12	B	23 17 22 45 46 24 34 18 36 26
13	B	26 18 24 45 52 26 36 16 31 38
14	B	22 11 26 46 43 28 22 15 30 32
15	B	24 14 24 47 47 20 28 26 51 24
--------------------------------------
1	C	30 17 22 51 60 20 34 18 36 22
2	C	28 13 20 52 56 28 26 23 47 34
3	C	32 19 26 52 64 28 38 25 50 36
4	C	26 16 22 53 52 22 32 14 28 22
5	C	30 12 26 53 59 24 24 13 26 28
6	C	28 11 22 54 55 20 22 11 23 30
7	C	31 17 28 54 61 28 34 19 37 26
8	C	33 18 22 54 65 28 36 10 21 38
9	C	25 11 20 55 50 22 22 12 25 22
10	C	29 14 24 56 58 24 28 15 30 34
11	C	32 15 26 56 63 26 30 13 26 36
12	C	27 13 28 57 54 24 26 11 22 26
13	C	26 19 20 58 51 22 38 25 51 22
14	C	30 17 20 58 60 20 34 21 42 30
15	C	28 12 28 59 56 26 24 19 38 32
--------------------------------------
1	D	37 12 36 35 74 15 18 16 33 38
2	D	33 19 26 41 67 16 13 14 27 34
3	D	34 16 22 37 68 19 11 11 21 24 
4	D	35 12 30 47 69 17 15 19 37 26 
5	D	35 11 32 43 70 12 16 10 21 22 
6	D	36 17 38 41 71 13 19 15 31 30 
7	D	35 18 34 36 71 11 17 17 33 32 
8	D	37 13 24 43 73 15 12 21 42 38 
9	D	37 11 26 38 74 16 13 23 45 34 
10	D	38 15 22 48 75 19 11 16 32 26 
11	D	39 16 30 43 77 17 15 14 27 38
12	D	39 19 32 38 77 13 16 13 26 22
13	D	39 17 38 34 78 19 19 18 36 34
14	D	40 12 34 38 80 16 17 21 42 36 
15	D	41 13 26 42 81 12 13 13 26 26
